井名	深度	GR	SP	SH	AT90	AC	PERM	POR	SW	DEN	RT	解释结论	层位
地308-61	2251.125	135.853	66.558	81.894	14.443	258.533	0.010	0.100	99.900	2.500	14.436	油层	chang3
地308-61	2251.250	125.049	66.290	66.082	13.731	246.081	0.010	0.100	99.900	2.549	13.335	油层	chang3
地308-61	2251.375	114.986	66.011	56.033	13.031	237.865	0.010	0.100	99.900	2.597	12.860	油层	chang3
地308-61	2251.500	109.016	65.722	51.458	13.025	234.348	0.010	0.100	99.900	2.636	13.117	油层	chang3
地308-61	2251.625	110.016	65.413	55.654	13.413	233.489	0.010	0.100	99.900	2.660	13.579	油层	chang3
地308-61	2251.750	115.546	65.057	62.771	14.009	231.870	0.010	0.100	99.900	2.666	14.250	油层	chang3
地308-61	2251.875	115.312	64.649	58.309	14.983	227.532	0.010	0.100	99.900	2.659	15.394	油层	chang3
地308-61	2252.000	106.479	64.206	46.372	16.523	220.698	0.010	0.100	99.900	2.645	17.157	油层	chang3
地308-61	2252.125	92.359	63.761	16.912	18.561	212.817	0.010	5.892	92.221	2.631	19.349	油层	chang3
地308-61	2252.250	79.629	63.353	12.714	21.065	205.598	0.010	4.183	99.900	2.623	22.027	油层	chang3
地308-61	2252.375	72.115	63.005	10.731	24.343	199.743	0.010	2.832	99.900	2.622	25.642	油层	chang3
地308-61	2252.500	67.623	62.730	9.367	28.893	195.140	0.010	1.773	99.900	2.628	30.716	油层	chang3
地308-61	2252.625	64.117	62.551	8.305	34.737	191.624	0.010	0.980	99.900	2.637	36.993	油层	chang3
地308-61	2252.750	60.544	62.515	7.268	41.154	189.857	0.010	0.728	99.900	2.644	43.487	油层	chang3
地308-61	2252.875	58.858	62.641	7.237	45.939	190.856	0.010	1.264	99.900	2.647	47.314	油层	chang3
地308-61	2253.000	62.947	62.924	9.316	43.530	195.154	0.010	2.659	99.900	2.649	41.407	油层	chang3
地308-61	2253.125	73.147	63.350	13.452	34.425	202.365	0.010	4.721	89.680	2.651	30.509	油层	chang3
地308-61	2253.250	86.971	63.908	19.342	25.332	211.674	0.010	7.237	71.174	2.649	22.429	油层	chang3
地308-61	2253.375	99.028	64.563	24.484	19.707	221.679	0.010	9.772	60.307	2.641	18.180		chang3
地308-61	2253.500	107.163	65.275	28.317	16.968	230.462	2.468	11.815	53.697	2.629	16.288		chang3
地308-61	2253.625	112.773	66.014	59.038	15.697	236.478	0.010	0.100	99.900	2.620	15.366		chang3
地308-61	2253.750	116.778	66.754	62.989	14.998	239.873	0.010	0.100	99.900	2.617	14.791		chang3
地308-61	2253.875	120.456	67.471	67.494	14.480	243.018	0.010	0.100	99.900	2.619	14.306		chang3
