井名	深度	GR	SP	RT	AC	CNL	DEN	RT.1	RT.2	RT.3	RT.4	RT.5	RT.6	RT.7	RT.8	RT.9	解释结论	层位
苏257	2252.500	49.483	47.886	17.836	190.338	14.704	2.639	10.915	12.466	16.549	17.289	17.729	13.915	10.822	68.1	59.915	干层	chang4+5
苏257	2252.625	48.535	47.605	17.304	192.014	15.115	2.63	10.944	12.384	15.253	16.953	17.255	13.774	10.865	65.99	60.24	干层	chang4+5
苏257	2252.750	47.227	47.354	16.306	195.215	16.096	2.615	10.842	12.202	13.719	16.212	16.325	13.465	10.918	58.615	57.764	干层	chang4+5
苏257	2252.875	53.423	47.09	14.966	200.193	18.156	2.593	10.566	11.889	12.103	15.128	15.049	12.971	10.917	46.793	50.201	干层	chang4+5
苏257	2253.000	71.684	46.775	13.43	206.583	19.356	2.577	10.121	11.412	10.522	13.791	13.555	12.279	10.786	34.703	39.561	干层	chang4+5
苏257	2253.125	94.734	46.402	11.829	213.722	20.926	2.58	9.571	10.767	9.16	12.317	11.973	11.411	10.479	25.257	29.128	干层	chang4+5
苏257	2253.250	106.932	46.004	10.299	220.53	22.821	2.584	9.04	10.009	8.094	10.852	10.448	10.449	10.016	18.879	21.035	干层	chang4+5
苏257	2253.375	98.614	45.641	8.986	226.061	24.492	2.562	8.62	9.247	7.325	9.549	9.126	9.519	9.479	14.877	15.978	干层	chang4+5
苏257	2253.500	86.37	45.363	7.977	229.843	25.072	2.513	8.333	8.591	6.802	8.517	8.103	8.736	8.974	12.543	13.312	干层	chang4+5
苏257	2253.625	88.907	45.196	7.249	232.035	25.562	2.472	8.12	8.093	6.428	7.764	7.363	8.144	8.579	11.268	12.034	水层	chang4+5
